ID,Symbol,Time,Price,Volume
1,YHOO,17:36:32.915747,48.4201,3777685
2,INTC,17:36:32.915747,36.995,4870516
3,FB,17:36:32.915747,147.29,6104138
4,AAPL,17:36:32.915747,143.7,6877803
5,IBM,17:36:32.915747,160.1,181972
6,MSFT,17:36:32.915747,67.955,7485818
7,TWTR,17:36:32.915747,16.285,6555743
8,HPQ,17:36:32.915747,18.755,3388119
9,GOOGL,17:36:32.915747,888.9551,805557
10,AMZN,17:36:32.915747,920.6,67782
11,YHOO,17:37:34.636910,48.2,5568096
12,INTC,17:37:34.636910,37.1,9555076
13,FB,17:37:34.636910,146.56,10311
14,AAPL,17:37:34.636910,143.7,6877803
15,IBM,17:37:34.636910,160.21,1711691
16,MSFT,17:37:34.636910,67.83,26190770
17,TWTR,17:37:34.636910,16.4416,11161318
18,HPQ,17:37:34.636910,18.755,3388119
19,GOOGL,17:37:34.636910,889.78,686440
20,AMZN,17:37:34.636910,920.1925,61945
21,YHOO,17:38:36.275578,48.36,4566003
22,INTC,17:38:36.275578,37.1,9555076
23,FB,17:38:36.275578,146.56,10311
24,AAPL,17:38:36.275578,143.7,6877803
25,IBM,17:38:36.275578,160.21,1711691
26,MSFT,17:38:36.275578,67.665,5234474
27,TWTR,17:38:36.275578,16.4416,11161318
28,HPQ,17:38:36.275578,18.63,15
29,GOOGL,17:38:36.275578,890.275,375289
30,AMZN,17:38:36.275578,919.1,1429858
31,YHOO,17:39:38.056810,48.25,5215728
32,INTC,17:39:38.056810,37.1,9555076
33,FB,17:39:38.056810,147.29,6104138
34,AAPL,17:39:38.056810,143.7,6877803
35,IBM,17:39:38.056810,160.1,1889709
36,MSFT,17:39:38.056810,67.86,4625382
37,TWTR,17:39:38.056810,16.285,6555743
38,HPQ,17:39:38.056810,18.64,3869441
39,GOOGL,17:39:38.056810,889.73,557002
40,AMZN,17:39:38.056810,919.3,1440069
41,YHOO,17:40:39.855541,48.36,4566003
42,INTC,17:40:39.855541,37.105,12503808
43,FB,17:40:39.855541,147.0255,4437023
44,AAPL,17:40:39.855541,143.7,6877803
45,IBM,17:40:39.855541,160.1,1890519
46,MSFT,17:40:39.855541,67.665,5234474
47,TWTR,17:40:39.855541,16.02,69409232
48,HPQ,17:40:39.855541,18.755,3388119
49,GOOGL,17:40:39.855541,889.73,557002
50,AMZN,17:40:39.855541,919.3,1440069
51,YHOO,17:41:41.706155,48.4201,3777685
52,INTC,17:41:41.706155,36.995,4870516
53,FB,17:41:41.706155,147.0255,4437023
